City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,Kaitangata,-46.2817,169.8464,40.15,94,12,4.12,NZ,2022-08-29 15:20:12
278,Itoman,26.1247,127.6694,84.22,84,1,2.3,JP,2022-08-29 15:20:12
279,Kadyy,57.787,43.1903,81.99,29,99,10.47,RU,2022-08-29 15:20:13
280,Dubrovka,53.6907,33.5071,76.84,50,75,6.87,RU,2022-08-29 15:20:13
281,Temir,49.1414,57.13,84.6,24,76,3.71,KZ,2022-08-29 15:20:14
282,Tual,-5.6667,132.75,80.08,85,95,14.2,ID,2022-08-29 15:21:14
283,Broken Hill,-31.95,141.4333,50.23,63,0,12.15,AU,2022-08-29 15:19:39
284,Grand Gaube,-20.0064,57.6608,72.0,75,99,1.01,MU,2022-08-29 15:21:15
285,La Ronge,55.1001,-105.2842,61.05,72,0,13.8,CA,2022-08-29 15:21:15
286,Coahuayana,18.7333,-103.6833,82.29,76,46,1.14,MX,2022-08-29 15:21:15
287,Olafsvik,64.8945,-23.7142,54.28,88,100,21.41,IS,2022-08-29 15:21:16
288,Nong Khai,17.9167,103.0833,80.29,80,100,1.03,TH,2022-08-29 15:21:16
289,Blackfoot,43.1905,-112.345,66.72,26,9,1.16,US,2022-08-29 15:18:23
290,Muisne,0.6,-80.0333,77.16,78,97,6.53,EC,2022-08-29 15:21:17
